 WORD                          COUNT         
50                            2              
Allen                         2              
Animal                        3              
Animals                       2              
As                            3              
But                           3              
Dobie                         2              
Eventually,                   2              
For                           2              
House                         2              
In                            10             
It                            3              
Ken                           2              
Lincoln’s                     2              
NYPD                          3              
New                           4              
Park                          4              
Prospect                      3              
South                         2              
Texas                         2              
The                           7              
These                         2              
This                          3              
Two                           2              
Unlike                        3              
When                          2              
Whether                       2              
White                         2              
York                          3              
a                             45             
about                         6              
after                         5              
all                           2              
allowed                       2              
an                            14             
and                           41             
animal                        5              
animals                       14             
animals,                      5              
any                           2              
are                           6              
aren’t                        2              
around                        2              
as                            17             
at                            8              
baboons                       2              
barrels                       2              
be                            9              
became                        3              
become                        2              
been                          5              
being                         2              
between                       2              
black                         2              
but                           4              
by                            7              
can                           5              
capture                       3              
chicken                       2              
communities                   2              
cow                           3              
didn’t                        4              
do                            2              
domesticated,                 2              
done                          2              
down                          3              
elude                         2              
escape                        4              
escaped                       11             
escapees                      2              
even                          7              
every                         2              
exhibit                       2              
farm                          4              
farms,                        2              
fate                          2              
fence                         4              
field.                        2              
for                           21             
former                        2              
freed                         2              
freedom                       2              
freedom.                      3              
from                          12             
given                         3              
go                            2              
goat                          2              
goats,                        2              
got                           2              
grizzly                       2              
had                           5              
have                          7              
head,                         2              
his                           6              
how                           2              
humans                        2              
idea                          3              
impossible                    2              
in                            30             
into                          6              
is                            9              
it                            17             
it.                           2              
its                           7              
just                          2              
keep                          2              
killed                        3              
lab                           4              
labs                          2              
lam                           2              
left                          2              
level                         2              
like                          4              
lion                          2              
little                        2              
live                          5              
llamas                        3              
local                         3              
long                          2              
made                          6              
meat                          3              
media                         2              
more                          7              
most                          3              
multiple                      2              
named                         3              
nets                          3              
never                         2              
news                          3              
not                           4              
nothing                       2              
of                            46             
off                           2              
often                         3              
on                            16             
one                           10             
only                          2              
opportunity                   2              
or                            12             
orangutan                     2              
order                         2              
other                         6              
our                           2              
out                           5              
over                          4              
owner                         2              
people                        5              
pigs                          2              
police                        7              
public                        3              
reporting                     2              
returned                      3              
run                           3              
see                           4              
seen                          2              
sent                          5              
sheep,                        2              
shot                          3              
should                        3              
six                           2              
slaughterhouse                2              
small                         4              
so                            2              
soccer                        2              
some                          2              
something                     2              
steer                         10             
steers                        2              
still                         2              
such                          4              
than                          4              
that                          20             
the                           126            
their                         15             
them                          6              
them.                         3              
then                          3              
there                         7              
these                         2              
they                          7              
three                         2              
through                       2              
times,                        2              
to                            63             
took                          2              
tweets                        2              
two                           3              
up                            6              
use                           2              
used                          3              
viewers                       2              
want                          3              
was                           21             
we                            2              
went                          2              
were                          16             
when                          6              
which                         2              
who                           12             
whose                         2              
wild                          2              
with                          12             
would                         4              
wrote                         2              
year,                         2              
years                         2              
zoos                          2              
“a                            2              
“freedom”                     2              
